recipe_id,ingredient,cuisine
44902,sugar,southern_us
44902,large eggs,southern_us
44902,all-purpose flour,southern_us
44902,baking soda,southern_us
44902,buttermilk,southern_us
44902,honey,southern_us
44902,corn oil,southern_us
44902,yellow corn meal,southern_us
44902,unsalted butter,southern_us
44902,salt,southern_us
39600,boneless chicken skinless thigh,mexican
39600,lime,mexican
39600,epazote,mexican
39600,bay leaf,mexican
39600,lime juice,mexican
39600,radishes,mexican
39600,salt,mexican
39600,oregano,mexican
39600,white onion,mexican
39600,hominy,mexican
39600,garlic,mexican
39600,chopped cilantro,mexican
39600,avocado,mexican
39600,fresh cilantro,mexican
39600,tomatillos,mexican
39600,pepitas,mexican
39600,canola oil,mexican
48576,pepper,irish
48576,potatoes,irish
48576,butter,irish
48576,salt,irish
48576,onions,irish
48576,tomato paste,irish
48576,olive oil,irish
48576,beef stock,irish
48576,diced tomatoes,irish
48576,carrots,irish
48576,sugar,irish
48576,baking soda,irish
48576,baking powder,irish
48576,rosemary leaves,irish
48576,lean steak,irish
48576,water,irish
48576,flour,irish
48576,buttermilk,irish
48576,Guinness Lager,irish
48576,dried rosemary,irish
46635,fresh ginger,indian
46635,paprika,indian
46635,garlic cloves,indian
46635,fresh lemon,indian
46635,ground coriander,indian
46635,ground turmeric,indian
46635,jalapeno chilies,indian
46635,salt,indian
46635,chopped cilantro fresh,indian
46635,vegetable oil,indian
46635,catfish,indian
4615,ground nutmeg,mexican
4615,salt,mexican
4615,red pepper,mexican
4615,ground cumin,mexican
4615,chili powder,mexican
4615,cayenne pepper,mexican
4615,garlic powder,mexican
4615,paprika,mexican
26091,parmigiano-reggiano cheese,italian
26091,worcestershire sauce,italian
26091,garlic cloves,italian
26091,water,italian
26091,salt,italian
26091,fresh mint,italian
26091,baguette,italian
26091,extra-virgin olive oil,italian
26091,fresh lemon juice,italian
26091,eggs,italian
26091,ground black pepper,italian
26091,anchovy fillets,italian
26091,arugula,italian
15077,sugar,french
15077,chopped almonds,french
15077,Grand Marnier,french
15077,melted butter,french
15077,milk,french
15077,salt,french
15077,pastry cream,french
15077,flour,french
15077,cognac,french
15077,eggs,french
15077,bananas,french
15077,grated lemon zest,french
11669,suet,irish
11669,cooked barley,irish
11669,skim milk,irish
11669,dried mint flakes,irish
11669,bread,irish
11669,ground black pepper,irish
11669,oatmeal,irish
11669,pork blood,irish
11669,salt,irish
35771,sweet onion,southern_us
35771,salt,southern_us
35771,collard greens,southern_us
35771,olive oil,southern_us
42269,vegetable oil,chinese
42269,milk,chinese
42269,all-purpose flour,chinese
42269,sugar,chinese
42269,salt,chinese
42269,active dry yeast,chinese
21673,fat free milk,southern_us
21673,all-purpose flour,southern_us
21673,black pepper,southern_us
21673,worcestershire sauce,southern_us
21673,"cream cheese, soften",southern_us
21673,reduced fat cheddar cheese,southern_us
21673,dijon mustard,southern_us
21673,elbow macaroni,southern_us
21673,minced garlic,southern_us
21673,salt,southern_us
35998,black pepper,jamaican
35998,dried salted codfish,jamaican
35998,onions,jamaican
35998,ackee,jamaican
35998,garlic cloves,jamaican
35998,pepper,jamaican
35998,salt,jamaican
35998,tomatoes,jamaican
35998,vegetable oil,jamaican
35998,thyme,jamaican
14566,pepper,mexican
14566,loin pork roast,mexican
14566,cumin,mexican
14566,brown sugar,mexican
14566,garlic powder,mexican
14566,green chilies,mexican
14566,coke zero,mexican
14566,water,mexican
14566,salt,mexican
14566,tomato sauce,mexican
14566,chili powder,mexican
14566,chipotles in adobo,mexican
48251,hot red pepper flakes,italian
48251,olive oil,italian
48251,salt,italian
48251,fresh parsley leaves,italian
48251,plum tomatoes,italian
48251,active dry yeast,italian
48251,"green bell pepper, slice",italian
48251,garlic cloves,italian
48251,onions,italian
48251,sugar,italian
48251,freshly grated parmesan,italian
48251,all-purpose flour,italian
48251,red bell pepper,italian
